"","booking_perc","host_response_time","host_response_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","is_location_exact","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","price","weekly_price","monthly_price","security_deposit","cleaning_fee","guests_included","extra_people","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_communication","review_scores_location","review_scores_value","instant_bookable","host_since_duration","Dis_Fin","Dis_Dt","Dis_Airport","Dis_UnionSq","amenities_count","final_score","Score","Magnitude"
"105",0.477862595419847,"within a few hours",82,"f",12,"t","t","Western Addition","t","Apartment","Entire home/apt",8,1,1,4,"Real Bed",100,1200,3500,500,100,4,7,30,365,64,89,9,8,9,10,9,"f",2859,3475.67518382343,1020.93568245005,17734.7134922132,2518.7592508319,32,1.23439319448418,0.62698412531746,3.70793649415873
"106",0.877862595419847,"within an hour",96,"f",20,"t","f","Financial District","t","Hostel","Shared room",2,1,1,1,"Real Bed",38,329,1140,0,0,1,38,1,21,335,94,9,9,10,9,9,"t",2895,261.359227057601,2308.90762072265,19231.5058967216,737.188560260526,19,1.15610027588144,0.724848478493939,2.22060604860303
"107",0.370044052863436,"within a few hours",82,"f",12,"t","t","Western Addition","t","Apartment","Entire home/apt",6,1,1,3,"Real Bed",110,1000,3500,400,80,2,6,30,365,49,89,9,9,9,10,9,"f",2859,3297.02986300466,837.898833895588,17767.1477825647,2336.31029880647,24,1.13660834651052,0.621276592808511,3.19999999753191
"108",0.0374449339207048,"Missing",0,"f",1,"t","t","South of Market","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",270,1890,5997,500,120,1,0,30,40,30,99,10,10,10,8,9,"f",2855,3089.38240344969,905.904182226909,16904.4718591646,2116.26631107157,25,1.24600952468914,0.6899999971,3.27000000083333
"109",0.187224669603524,"within a few hours",82,"f",12,"t","t","Western Addition","t","Apartment","Entire home/apt",4,1,0,2,"Real Bed",120,1200,3200,400,100,2,5,30,365,17,96,9,9,10,10,9,"f",2859,3546.14971940514,1043.10340887303,17586.129353227,2577.77250764642,31,1.31048748408395,0.681250000375,3.750000026
"110",0.444274809160305,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",2,1,1,1,"Real Bed",40,280,1175,150,35,1,15,30,1125,34,86,9,8,9,8,9,"f",2923,7364.40159319455,5181.47639707218,12854.7925995049,6444.89944421219,7,1.07300407800318,0.600000001941176,3.29411762779412
"111",0.241221374045802,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",2,1,1,1,"Real Bed",35,245,1100,150,35,1,20,30,1825,9,100,9,9,10,9,9,"f",2923,7360.47595932095,5189.17652304977,12829.4221921484,6443.95147472126,7,0.815856868625648,0.477777778333333,1.922222184
"112",0.396946564885496,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",2,1,1,1,"Real Bed",40,280,1125,150,40,1,15,30,1825,33,90,9,8,10,8,9,"f",2923,7451.16643462577,5278.86291341415,12750.1191315502,6534.8013507963,5,1.13503048412875,0.56875000128125,4.0343749758125
"113",0.645801526717557,"Missing",0,"t",1,"t","t","Glen Park","t","House","Entire home/apt",2,1,1,1,"Real Bed",135,945,4050,0,50,2,0,3,31,256,98,10,10,10,10,10,"f",2845,6873.2188791382,4509.20298333233,13831.5517234112,5908.41924026416,33,1.28710381200597,0.687843135862745,3.55490196586274
"114",0.364885496183206,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",3,1,1,1,"Real Bed",49,343,1400,150,50,1,15,30,1825,20,80,7,8,8,8,8,"f",2923,7350.62886885128,5182.22641008819,12831.257641812,6434.80682266869,8,0.958484131521944,0.515789480263158,3.57894733394737
"115",0.355725190839695,"within an hour",100,"f",4,"t","t","Mission","t","Apartment","Private room",1,2,1,1,"Real Bed",75,525,2100,300,100,1,0,2,180,70,94,9,9,10,9,9,"t",3094,4569.20927802737,2429.6270360728,15381.5333640662,3636.64632957295,22,1.24205919528938,0.668115937695652,3.34492751305797
"116",0.854625550660793,"within a few hours",100,"f",1,"t","t","Haight Ashbury","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",140,1000,4200,500,75,2,20,30,60,10,98,10,10,9,9,10,"f",3120,4420.97567202575,1956.12778862033,17481.3549770863,3470.27011593158,20,1.11907036606678,0.5300000005,3.5299999788
"117",0.502202643171806,"Missing",0,"f",1,"t","f","Western Addition","f","Condominium","Entire home/apt",4,1,1,2,"Real Bed",83,600,2500,200,150,2,10,30,330,12,92,10,9,10,10,9,"f",2820,3969.53516778098,2248.68421462482,19093.3160948302,3227.26588678279,52,1.25911455801462,0.683333334833333,3.500000005
"118",0.236641221374046,"within an hour",93,"f",41,"t","t","Excelsior","t","House","Private room",3,1,1,1,"Real Bed",40,280,1150,150,35,1,15,30,1825,19,78,8,7,9,8,8,"f",2923,7351.83771862872,5165.4412095942,12874.8441032078,6431.38745568408,8,1.03819557848099,0.511764709588235,3.70588233194118
"119",0.290748898678414,"Missing",0,"f",1,"t","t","Downtown/Civic Center","t","Loft","Entire home/apt",1,1,1,1,"Real Bed",250,1500,4000,500,75,1,0,30,1125,14,97,10,10,10,8,9,"f",2819,1881.21512591409,847.537332972171,17914.8064603178,906.53404996227,33,1.09661267555798,0.600000002571429,3.00714282471429
"120",0.758778625954198,"within an hour",100,"f",1,"t","t","Bernal Heights","t","House","Private room",2,1,1,1,"Real Bed",115,650,2205,100,25,4,0,3,14,365,92,9,9,10,9,9,"t",2814,6952.77229620656,4849.91175608886,13056.4693213826,6051.83035792033,41,1.19132173188523,0.658677685435262,3.0548209322562
"121",0.445801526717557,"within a few hours",100,"f",1,"f","t","Western Addition","t","House","Private room",1,1,1,1,"Real Bed",90,550,1500,400,55,1,0,1,365,83,97,10,10,10,9,9,"f",2812,3739.61654260655,2051.52914845345,19062.9994623119,2996.02666567737,33,1.35493168029342,0.72409638673494,3.70963856325301
"122",0.358778625954198,"Missing",0,"f",31,"t","t","Outer Richmond","t","Apartment","Entire home/apt",2,1,0,1,"Real Bed",85,595,2500,0,155,2,50,30,290,6,100,10,10,9,9,9,"f",3119,9645.12388474651,7686.70371836419,20490.8831970342,8903.24061466625,33,1.33014798807148,0.700000003,3.666666607
"123",0.893004115226337,"Missing",0,"t",2,"t","t","Castro/Upper Market","t","Guest suite","Entire home/apt",2,1,0,1,"Real Bed",85,595,2550,200,60,1,25,4,30,209,94,10,9,10,9,9,"f",2808,5375.01205367388,2811.66474971983,16382.5934247038,4385.79069094763,24,1.21823414090241,0.645192308826923,3.46394229700962
"124",0.951145038167939,"within a day",100,"t",1,"t","t","Noe Valley","t","Guest suite","Private room",2,1,1,1,"Real Bed",115,900,3600,0,20,1,0,2,21,313,98,10,10,10,10,10,"f",2800,5980.40845255998,3650.55083600133,14452.0659597327,5019.86325586408,40,1.3975838685204,0.724999996980769,4.00352563725
"125",0.427480916030534,"within a few hours",100,"f",1,"t","t","Haight Ashbury","t","Apartment","Entire home/apt",6,1.5,2,4,"Real Bed",248,1800,7000,300,150,4,20,30,730,94,95,9,9,10,10,9,"f",2793,5502.2327444376,2967.04351882806,16765.2782735922,4529.06635595224,39,1.26515395191712,0.687096772569892,3.2860214951828
"126",0.940869565217391,"within an hour",100,"t",2,"t","t","North Beach","t","Condominium","Entire home/apt",4,2,2,2,"Real Bed",400,2800,12000,500,175,4,50,2,1125,31,98,10,10,10,10,10,"t",2934,1043.13736208835,3018.3383411762,20376.0170755496,1676.06703228348,37,1.2927186043147,0.712903227806452,3.26451614780645
"127",0.395419847328244,"within a few hours",100,"t",9,"t","f","Pacific Heights","t","Apartment","Private room",1,1,1,1,"Real Bed",59,413,1560,0,70,1,20,30,365,129,94,10,9,10,10,9,"f",3016,1955.57085198016,1563.39878286787,19358.419743457,1391.7901760043,6,1.19542232841711,0.678294574751938,2.96589146470543
"128",0.99236641221374,"Missing",0,"f",1,"t","t","Mission","t","Apartment","Entire home/apt",4,1,2,2,"Real Bed",185,1000,5550,300,100,3,0,5,1125,11,98,10,10,10,10,10,"f",2782,3552.03913443881,1103.5704567307,16776.8274669931,2559.99009517185,23,1.25581858701099,0.636363630909091,3.69999999345455
"129",0.820031298904538,"Missing",0,"f",1,"t","t","Mission","t","Apartment","Entire home/apt",5,2,3,3,"Real Bed",450,2900,8500,0,0,4,0,4,29,10,100,10,10,10,10,10,"f",2780,4744.48364765327,2414.21098749156,15518.1474218332,3776.78704855629,20,1.23408882339299,0.6600000084,3.2500000356
"130",0.359030837004405,"Missing",0,"f",1,"t","t","Russian Hill","t","Apartment","Entire home/apt",2,1,1,1,"Real Bed",165,1155,4500,500,0,2,0,30,99,107,97,10,10,10,10,10,"f",2777,1228.66753971116,2725.88396204376,20272.4295373642,1566.48715596143,23,1.39591650255315,0.68691588953271,4.46635512660748
"131",0.185022026431718,"within an hour",96,"f",20,"t","f","Chinatown","t","House","Shared room",1,2.5,1,1,"Real Bed",30,210,880,300,0,1,0,30,730,5,96,10,8,9,8,10,"f",2895,403.692731528031,2171.94627573728,19240.4065133967,622.046488497401,18,1.17417285616833,0.6599999904,2.8200000526
